"Time","Unsubtracted Weight","Baseline Weight","Program Temperature","Sample Temperature","Approx. Gas Flow","Unsubtracted Delta T","Baseline Delta T","Unsubtracted Heat Flow","Baseline Heat Flow","Heat Flow Calibration","Unsubstracted Microvolt","R25 Diagnostic Temperature"
"0","10.739988","0","30.0625","29.51","100.2","-0.210689","0","20.0012","0","1","-0.282131","-8.583"
"0.002083","10.74272","0","30.0625","29.51","100.2","-0.210791","0","19.9996","0","1","-0.282263","-8.587"
"0.004167","10.745032","0","30.125","29.51","100.2","-0.210956","0","19.9968","0","1","-0.282493","-8.594"
"0.00625","10.747343","0","30.1875","29.51","100.2","-0.211203","0","19.992801","0","1","-0.282822","-8.604"
"0.008333","10.749444","0","30.25","29.51","100.2","-0.21162","0","19.986002","0","1","-0.28338","-8.621"
"0.010417","10.751336","0","30.3125","29.51","100.2","-0.212086","0","19.978402","0","1","-0.284005","-8.64"
"0.0125","10.753017","0","30.375","29.51","100.2","-0.212648","0","19.969204","0","1","-0.284761","-8.663"
"0.014583","10.754488","0","30.4375","29.51","100.2","-0.213288","0","19.958805","0","1","-0.285616","-8.689"
"0.016667","10.755959","0","30.5","29.51","100.2","-0.214023","0","19.946806","0","1","-0.286602","-8.719"
"0.01875","10.757219","0","30.5625","29.51","100.2","-0.214806","0","19.934008","0","1","-0.287654","-8.751"
"0.020833","10.75827","0","30.625","29.51","100.2","-0.215667","0","19.920009","0","1","-0.288804","-8.786"
"0.022917","10.759321","0","30.6875","29.52","100.2","-0.216525","0","19.90602","0","1","-0.289955","-8.821"
"0.025","10.760371","0","30.75","29.52","100.2","-0.217411","0","19.891622","0","1","-0.291138","-8.857"
"0.027083","10.761212","0","30.8125","29.52","100.2","-0.218245","0","19.878024","0","1","-0.292256","-8.891"
"0.029167","10.762052","0","30.875","29.52","100.2","-0.218906","0","19.867225","0","1","-0.293143","-8.918"
"0.03125","10.762683","0","30.9375","29.52","100.2","-0.219587","0","19.856026","0","1","-0.294064","-8.946"
"0.033333","10.763523","0","31","29.52","100.2","-0.220229","0","19.845627","0","1","-0.294918","-8.972"
"0.035417","10.764154","0","31.0625","29.52","100.2","-0.220866","0","19.835229","0","1","-0.295773","-8.998"
"0.0375","10.764574","0","31.125","29.53","100.2","-0.221429","0","19.826039","0","1","-0.296529","-9.021"
"0.039583","10.765204","0","31.1875","29.53","100.2","-0.221916","0","19.81804","0","1","-0.297186","-9.041"
"0.041667","10.765835","0","31.25","29.53","100.2","-0.22236","0","19.810841","0","1","-0.297778","-9.059"
"0.04375","10.766255","0","31.3125","29.53","100.2","-0.222824","0","19.803242","0","1","-0.298402","-9.078"
"0.045833","10.766675","0","31.375","29.53","100.2","-0.223262","0","19.796043","0","1","-0.298994","-9.096"
"0.047917","10.767096","0","31.4375","29.53","100.2","-0.223684","0","19.789244","0","1","-0.299553","-9.113"
"0.05","10.767726","0","31.5","29.53","100.2","-0.224096","0","19.782445","0","1","-0.300112","-9.13"
"0.052083","10.768146","0","31.5625","29.54","100.2","-0.224441","0","19.776855","0","1","-0.300572","-9.144"
"0.054167","10.768357","0","31.625","29.54","100.2","-0.224761","0","19.771656","0","1","-0.300999","-9.157"
"0.05625","10.768777","0","31.6875","29.54","100.2","-0.225077","0","19.766456","0","1","-0.301427","-9.17"
"0.058333","10.769197","0","31.75","29.54","100.2","-0.225367","0","19.761657","0","1","-0.301821","-9.182"
"0.060417","10.769617","0","31.8125","29.54","100.2","-0.225645","0","19.757257","0","1","-0.302183","-9.193"
"0.0625","10.770038","0","31.875","29.54","100.2","-0.225913","0","19.752858","0","1","-0.302544","-9.204"
"0.064583","10.770458","0","31.9375","29.54","100.2","-0.226183","0","19.748459","0","1","-0.302906","-9.215"
"0.066667","10.770878","0","32","29.54","100.2","-0.226424","0","19.744459","0","1","-0.303235","-9.225"
"0.06875","10.771298","0","32.0625","29.54","100.2","-0.226693","0","19.74006","0","1","-0.303596","-9.236"
"0.070833","10.771719","0","32.125","29.54","100.2","-0.226965","0","19.73566","0","1","-0.303958","-9.247"
"0.072917","10.772349","0","32.1875","29.54","100.2","-0.227259","0","19.730861","0","1","-0.304352","-9.259"
"0.075","10.772769","0","32.25","29.55","100.2","-0.227576","0","19.725671","0","1","-0.304779","-9.272"
"0.077083","10.77319","0","32.3125","29.55","100.2","-0.227896","0","19.720472","0","1","-0.305207","-9.285"
"0.079167","10.77382","0","32.375","29.55","100.2","-0.228211","0","19.715273","0","1","-0.305634","-9.298"
"0.08125","10.77424","0","32.4375","29.55","100.2","-0.228576","0","19.709273","0","1","-0.306127","-9.313"
"0.083333","10.774871","0","32.5","29.55","100.2","-0.228949","0","19.703274","0","1","-0.30662","-9.328"
"0.085417","10.775501","0","32.5625","29.55","100.2","-0.229363","0","19.696475","0","1","-0.307179","-9.345"
"0.0875","10.775921","0","32.625","29.55","100.2","-0.229779","0","19.689676","0","1","-0.307738","-9.362"
"0.089583","10.776552","0","32.6875","29.55","100.2","-0.23022","0","19.682477","0","1","-0.308329","-9.38"
"0.091667","10.777182","0","32.75","29.55","100.2","-0.230688","0","19.674878","0","1","-0.308954","-9.399"
"0.09375","10.777813","0","32.8125","29.55","100.2","-0.231195","0","19.666479","0","1","-0.309644","-9.42"
"0.095833","10.778443","0","32.875","29.55","100.2","-0.231715","0","19.65808","0","1","-0.310335","-9.441"
"0.097917","10.779073","0","32.9375","29.55","100.2","-0.232232","0","19.649681","0","1","-0.311025","-9.462"
"0.1","10.779704","0","33","29.55","100.2","-0.232744","0","19.641282","0","1","-0.311715","-9.483"
"0.102083","10.780334","0","33.0625","29.55","100.2","-0.233255","0","19.632883","0","1","-0.312405","-9.504"
"0.104167","10.781175","0","33.125","29.55","100.2","-0.233772","0","19.624484","0","1","-0.313096","-9.525"
"0.10625","10.781805","0","33.1875","29.55","100.2","-0.23426","0","19.616485","0","1","-0.313753","-9.545"
"0.108333","10.782436","0","33.25","29.55","100.2","-0.234655","0","19.610086","0","1","-0.314279","-9.561"
"0.110417","10.783276","0","33.3125","29.55","100.2","-0.235","0","19.604486","0","1","-0.314739","-9.575"
"0.1125","10.783906","0","33.375","29.55","100.2","-0.235265","0","19.600087","0","1","-0.315101","-9.586"
"0.114583","10.784747","0","33.4375","29.55","100.2","-0.235537","0","19.595688","0","1","-0.315462","-9.597"
"0.116667","10.785588","0","33.5","29.56","100.2","-0.235783","0","19.591698","0","1","-0.315791","-9.607"
"0.11875","10.786428","0","33.5625","29.56","100.2","-0.23598","0","19.588499","0","1","-0.316054","-9.615"
"0.120833","10.787269","0","33.625","29.56","100.2","-0.236171","0","19.585299","0","1","-0.316317","-9.623"
"0.122917","10.788109","0","33.6875","29.56","100.2","-0.236293","0","19.583299","0","1","-0.316481","-9.628"
"0.125","10.78874","0","33.75","29.56","100.2","-0.236366","0","19.5821","0","1","-0.31658","-9.631"
"0.127083","10.78937","0","33.8125","29.56","100.2","-0.236439","0","19.5809","0","1","-0.316679","-9.634"
"0.129167","10.79","0","33.875","29.56","100.2","-0.236488","0","19.5801","0","1","-0.316744","-9.636"
"0.13125","10.790421","0","33.9375","29.57","100.2","-0.236611","0","19.57811","0","1","-0.316909","-9.641"
"0.133333","10.791051","0","34","29.57","100.2","-0.236682","0","19.576911","0","1","-0.317007","-9.644"
"0.135417","10.791261","0","34.0625","29.57","100.2","-0.236805","0","19.574911","0","1","-0.317172","-9.649"
