Time,Temp oC,Temp K,TG % or wt%,"DTG % min-1, mg oC-1",DTG,DSC mW mg-1,DTA microvolt,m mg,mo - m mg,mo - mα mg,α,dα / dT % K-1,ln(β*(dα / dT)),1/T,T²,ln(β/T²)
0.0,29.98,303.13,100.0,2.031685,#N/A,19.976806,-0.302577,9.925296,0.0,5.220589,0.0,inf,inf,0.033356,91887.7969,-7.516301
0.002083,29.98,303.13,100.004232,2.03023,#N/A,19.972407,-0.302939,9.925716,-0.00042,5.220589,-8e-05,inf,inf,0.033356,91887.7969,-7.516301
0.004167,29.98,303.13,100.008463,3.052328,#N/A,19.968008,-0.3033,9.926136,-0.00084,5.220589,-0.000161,inf,inf,0.033356,91887.7969,-7.516301
0.00625,29.98,303.13,100.014821,2.031205,#N/A,19.962809,-0.303728,9.926767,-0.001471,5.220589,-0.000282,inf,inf,0.033356,91887.7969,-7.516301
0.008333,29.98,303.13,100.019052,3.046065,#N/A,19.95721,-0.304188,9.927187,-0.001891,5.220589,-0.000362,inf,inf,0.033356,91887.7969,-7.516301
0.010417,29.98,303.13,100.0254,3.051848,#N/A,19.951612,-0.304648,9.927817,-0.002521,5.220589,-0.000483,inf,inf,0.033356,91887.7969,-7.516301
0.0125,29.98,303.13,100.031757,2.031685,#N/A,19.946013,-0.305108,9.928448,-0.003152,5.220589,-0.000604,0.008,-0.916291,0.033356,91887.7969,-7.516301
0.014583,29.99,303.14,100.035989,3.045585,#N/A,19.939625,-0.305634,9.928868,-0.003572,5.220589,-0.000684,inf,inf,0.033344,91893.8596,-7.516366
0.016667,29.99,303.14,100.042336,3.052328,#N/A,19.933226,-0.30616,9.929498,-0.004202,5.220589,-0.000805,inf,inf,0.033344,91893.8596,-7.516366
0.01875,29.99,303.14,100.048694,3.047048,#N/A,19.926428,-0.306719,9.930129,-0.004833,5.220589,-0.000926,inf,inf,0.033344,91893.8596,-7.516366
0.020833,29.99,303.14,100.055041,3.050864,#N/A,19.91883,-0.307343,9.930759,-0.005463,5.220589,-0.001046,inf,inf,0.033344,91893.8596,-7.516366
0.022917,29.99,303.14,100.061399,3.047048,#N/A,19.911631,-0.307935,9.93139,-0.006094,5.220589,-0.001167,inf,inf,0.033344,91893.8596,-7.516366
0.025,29.99,303.14,100.067746,3.052328,#N/A,19.904433,-0.308527,9.93202,-0.006724,5.220589,-0.001288,inf,inf,0.033344,91893.8596,-7.516366
0.027083,29.99,303.14,100.074104,3.045585,#N/A,19.897635,-0.309086,9.932651,-0.007355,5.220589,-0.001409,inf,inf,0.033344,91893.8596,-7.516366
0.029167,29.99,303.14,100.080451,3.047048,#N/A,19.890836,-0.309644,9.933281,-0.007985,5.220589,-0.00153,inf,inf,0.033344,91893.8596,-7.516366
0.03125,29.99,303.14,100.086798,4.068171,#N/A,19.884438,-0.31017,9.933911,-0.008615,5.220589,-0.00165,inf,inf,0.033344,91893.8596,-7.516366
0.033333,29.99,303.14,100.095272,3.045585,#N/A,19.878839,-0.31063,9.934752,-0.009456,5.220589,-0.001811,inf,inf,0.033344,91893.8596,-7.516366
0.035417,29.99,303.14,100.101619,4.067691,#N/A,19.873641,-0.311058,9.935382,-0.010086,5.220589,-0.001932,inf,inf,0.033344,91893.8596,-7.516366
0.0375,29.99,303.14,100.110092,4.06337,#N/A,19.869242,-0.311419,9.936223,-0.010927,5.220589,-0.002093,inf,inf,0.033344,91893.8596,-7.516366
0.039583,29.99,303.14,100.118556,4.065739,#N/A,19.865643,-0.311715,9.937063,-0.011767,5.220589,-0.002254,inf,inf,0.033344,91893.8596,-7.516366
