Time,Temp oC,Temp K,TG % or wt%,"DTG % min-1, mg oC-1",DTG,DSC mW mg-1,DTA microvolt,m mg,mo - m mg,mo - mα mg,α,dα / dT % K-1,ln(β*(dα / dT)),1/T,T²,ln(β/T²)
0.0,29.9,303.05,100.0,0.0,#N/A,20.0004,-0.237493,10.463871,0.0,5.683515,0.0,null,null,0.033445,91839.3025,-8.432063
0.002083,29.9,303.05,100.0,-0.963052,#N/A,20.0008,-0.23746,10.463871,0.0,5.683515,0.0,-inf,null,0.033445,91839.3025,-8.432063
0.004167,29.9,303.05,99.997993,0.0,#N/A,20.0008,-0.23746,10.463661,0.00021,5.683515,3.7e-05,null,null,0.033445,91839.3025,-8.432063
0.00625,29.9,303.05,99.997993,0.0,#N/A,20.0008,-0.23746,10.463661,0.00021,5.683515,3.7e-05,-0.0,null,0.033445,91839.3025,-8.432063
0.008333,29.91,303.06,99.997993,0.0,#N/A,20.000808,-0.23746,10.463661,0.00021,5.683515,3.7e-05,0.0,null,0.033434,91845.3636,-8.432129
0.010417,29.9,303.05,99.997993,0.0,#N/A,20.0008,-0.23746,10.463661,0.00021,5.683515,3.7e-05,-0.0,null,0.033445,91839.3025,-8.432063
0.0125,29.91,303.06,99.997993,0.0,#N/A,20.000808,-0.23746,10.463661,0.00021,5.683515,3.7e-05,null,null,0.033434,91845.3636,-8.432129
0.014583,29.91,303.06,99.997993,0.0,#N/A,20.000808,-0.23746,10.463661,0.00021,5.683515,3.7e-05,null,null,0.033434,91845.3636,-8.432129
0.016667,29.91,303.06,99.997993,0.0,#N/A,20.000808,-0.23746,10.463661,0.00021,5.683515,3.7e-05,null,null,0.033434,91845.3636,-8.432129
0.01875,29.91,303.06,99.997993,0.0,#N/A,20.000408,-0.237493,10.463661,0.00021,5.683515,3.7e-05,0.0,null,0.033434,91845.3636,-8.432129
0.020833,29.9,303.05,99.997993,-0.963052,#N/A,20.0004,-0.237493,10.463661,0.00021,5.683515,3.7e-05,-0.0037,null,0.033445,91839.3025,-8.432063
0.022917,29.91,303.06,99.995986,0.0,#N/A,20.000408,-0.237493,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.025,29.91,303.06,99.995986,0.0,#N/A,20.000408,-0.237493,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.027083,29.91,303.06,99.995986,0.0,#N/A,20.000408,-0.237493,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.029167,29.91,303.06,99.995986,0.0,#N/A,20.000408,-0.237493,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.03125,29.91,303.06,99.995986,0.0,#N/A,20.000008,-0.237525,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.033333,29.91,303.06,99.995986,0.0,#N/A,20.000008,-0.237525,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.035417,29.91,303.06,99.995986,0.0,#N/A,20.000008,-0.237525,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.0375,29.91,303.06,99.995986,0.0,#N/A,19.999608,-0.237558,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.039583,29.91,303.06,99.995986,0.0,#N/A,19.999608,-0.237558,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.041667,29.91,303.06,99.995986,0.0,#N/A,19.999608,-0.237558,10.463451,0.00042,5.683515,7.4e-05,null,null,0.033434,91845.3636,-8.432129
0.04375,29.91,303.06,99.995986,-0.963514,#N/A,19.999208,-0.237591,10.463451,0.00042,5.683515,7.4e-05,-inf,null,0.033434,91845.3636,-8.432129
0.045833,29.91,303.06,99.993979,0.0,#N/A,19.999208,-0.237591,10.463241,0.00063,5.683515,0.000111,null,null,0.033434,91845.3636,-8.432129
0.047917,29.91,303.06,99.993979,0.0,#N/A,19.999208,-0.237591,10.463241,0.00063,5.683515,0.000111,null,null,0.033434,91845.3636,-8.432129
0.05,29.91,303.06,99.993979,0.0,#N/A,19.998808,-0.237624,10.463241,0.00063,5.683515,0.000111,null,null,0.033434,91845.3636,-8.432129
0.052083,29.91,303.06,99.993979,0.0,#N/A,19.998808,-0.237624,10.463241,0.00063,5.683515,0.000111,null,null,0.033434,91845.3636,-8.432129
0.054167,29.91,303.06,99.993979,0.0,#N/A,19.998808,-0.237624,10.463241,0.00063,5.683515,0.000111,null,null,0.033434,91845.3636,-8.432129
