Time,Temp oC,Temp K,TG % or wt%,"DTG % min-1, mg oC-1",DTG,DSC mW mg-1,DTA microvolt,m mg,mo - m mg,mo - mα mg,α,dα / dT % K-1,ln(β*(dα / dT)),1/T,T²,ln(β/T²)
0.0,29.96,303.11,100.0,0.0,#N/A,19.999609,-0.276872,9.578784,0.0,5.06677,0.0,null,null,0.033378,91875.6721,-7.739312
0.002083,29.96,303.11,100.0,0.0,#N/A,19.999609,-0.276872,9.578784,0.0,5.06677,0.0,null,null,0.033378,91875.6721,-7.739312
0.004167,29.96,303.11,100.0,0.0,#N/A,19.999609,-0.276872,9.578784,0.0,5.06677,0.0,null,null,0.033378,91875.6721,-7.739312
0.00625,29.96,303.11,100.0,-1.057609,#N/A,19.999609,-0.276872,9.578784,0.0,5.06677,0.0,-inf,null,0.033378,91875.6721,-7.739312
0.008333,29.96,303.11,99.997797,0.0,#N/A,19.999609,-0.276872,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.010417,29.96,303.11,99.997797,0.0,#N/A,19.999209,-0.276905,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.0125,29.96,303.11,99.997797,0.0,#N/A,19.999209,-0.276905,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.014583,29.96,303.11,99.997797,0.0,#N/A,19.998809,-0.276938,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.016667,29.96,303.11,99.997797,0.0,#N/A,19.998809,-0.276938,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.01875,29.96,303.11,99.997797,0.0,#N/A,19.998409,-0.276971,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.020833,29.96,303.11,99.997797,0.0,#N/A,19.998409,-0.276971,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.022917,29.96,303.11,99.997797,0.0,#N/A,19.998009,-0.277003,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.025,29.96,303.11,99.997797,0.0,#N/A,19.998009,-0.277003,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.027083,29.96,303.11,99.997797,0.0,#N/A,19.99761,-0.277036,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.029167,29.96,303.11,99.997797,0.0,#N/A,19.99761,-0.277036,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.03125,29.96,303.11,99.997797,0.0,#N/A,19.99761,-0.277036,9.578573,0.000211,5.06677,4.2e-05,null,null,0.033378,91875.6721,-7.739312
0.033333,29.96,303.11,99.997797,-1.051823,#N/A,19.99721,-0.277069,9.578573,0.000211,5.06677,4.2e-05,-0.0041,null,0.033378,91875.6721,-7.739312
0.035417,29.97,303.12,99.995605,0.0,#N/A,19.997219,-0.277069,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.0375,29.97,303.12,99.995605,0.0,#N/A,19.996819,-0.277102,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.039583,29.97,303.12,99.995605,0.0,#N/A,19.996419,-0.277135,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.041667,29.97,303.12,99.995605,0.0,#N/A,19.996419,-0.277135,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.04375,29.97,303.12,99.995605,0.0,#N/A,19.996019,-0.277168,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.045833,29.97,303.12,99.995605,0.0,#N/A,19.995619,-0.277201,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.047917,29.97,303.12,99.995605,0.0,#N/A,19.995619,-0.277201,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.05,29.97,303.12,99.995605,0.0,#N/A,19.995219,-0.277234,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.052083,29.97,303.12,99.995605,0.0,#N/A,19.994819,-0.277266,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.054167,29.97,303.12,99.995605,0.0,#N/A,19.994419,-0.277299,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.05625,29.97,303.12,99.995605,0.0,#N/A,19.994419,-0.277299,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.058333,29.97,303.12,99.995605,0.0,#N/A,19.994019,-0.277332,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
0.060417,29.97,303.12,99.995605,0.0,#N/A,19.994019,-0.277332,9.578363,0.000421,5.06677,8.3e-05,null,null,0.033367,91881.7344,-7.739378
